window_index,train_start,train_end,val_start,val_end,test_start,test_end,train_size,val_size,test_size,val_loss,hidden_size,dropout,lr,acc,precision,recall,f1,total_pnl,num_trades,avg_pnl_per_trade
0,2017-08-17 06:57:00,2018-04-17 06:54:00,2018-04-17 06:57:00,2018-05-17 06:45:00,2018-06-17 07:00:00,2018-07-17 06:54:00,49799,5459,4748,0.5111604928970337,32,0.2,0.001,0.7491467595100403,0.6539137959480286,0.7926439046859741,0.7166265249252319,1.9203642563312224,2274,0.0008444873598642139
1,2017-09-17 06:57:00,2018-05-17 06:45:00,2018-05-17 06:57:00,2018-06-17 06:39:00,2018-07-17 06:57:00,2018-08-17 06:54:00,48439,5091,5808,0.5023119449615479,32,0.2,0.001,0.7773138284683228,0.7661396861076355,0.8031768202781677,0.7842211723327637,3.888608846863633,3036,0.0012808329535123955
2,2017-10-17 07:30:00,2018-06-17 06:39:00,2018-06-17 07:00:00,2018-07-17 06:54:00,2018-08-17 07:12:00,2018-09-17 06:54:00,47333,4748,5302,0.5063090324401855,32,0.2,0.001,0.7674551606178284,0.7429234385490417,0.7065313458442688,0.7242705225944519,2.418123267803527,2155,0.0011220989641779707
3,2017-11-17 06:57:00,2018-07-17 06:54:00,2018-07-17 06:57:00,2018-08-17 06:54:00,2018-09-17 06:57:00,2018-10-17 06:51:00,45635,5808,4669,0.4784894287586212,32,0.2,0.001,0.7830331921577454,0.6921759247779846,0.7244470715522766,0.7079439163208008,1.7220572100137597,1751,0.00098347070817462
4,2017-12-17 06:57:00,2018-08-17 06:54:00,2018-08-17 07:12:00,2018-09-17 06:54:00,2018-10-17 07:15:00,2018-11-17 06:30:00,45149,5302,4220,0.5074348449707031,32,0.2,0.001,0.8060095906257629,0.5741780400276184,0.7217742204666138,0.6395712494850159,1.045302022749329,1247,0.0008382534264228781
5,2018-01-17 07:00:00,2018-09-17 06:54:00,2018-09-17 06:57:00,2018-10-17 06:51:00,2018-11-17 06:57:00,2018-12-17 06:42:00,44056,4669,5588,0.47263771295547485,32,0.2,0.001,0.7774963974952698,0.8325563073158264,0.7284160256385803,0.7770123481750488,5.779044759693774,2574,0.0022451611343021656
6,2018-02-17 06:57:00,2018-10-17 06:51:00,2018-10-17 07:15:00,2018-11-17 06:30:00,2018-12-17 06:57:00,2019-01-17 06:54:00,42548,4220,5575,0.4460681080818176,32,0.2,0.001,0.7956482172012329,0.8044554591178894,0.7491356134414673,0.7758105993270874,3.519548126405292,2424,0.001451958798021985
7,2018-03-17 07:57:00,2018-11-17 06:30:00,2018-11-17 06:57:00,2018-12-17 06:42:00,2019-01-17 07:00:00,2019-02-17 06:42:00,41048,5588,4653,0.47612181305885315,32,0.2,0.001,0.8092749714851379,0.694915235042572,0.7232021689414978,0.708776593208313,1.1922048852181335,1534,0.0007771870177432421
8,2018-04-17 06:57:00,2018-12-17 06:42:00,2018-12-17 06:57:00,2019-01-17 06:54:00,2019-02-17 07:33:00,2019-03-17 06:36:00,40885,5575,4468,0.45123589038848877,32,0.2,0.001,0.8017241358757019,0.7720685005187988,0.6894117593765259,0.7284027338027954,1.7339197573809841,1518,0.0011422396293682372
9,2018-05-17 06:57:00,2019-01-17 06:54:00,2019-01-17 07:00:00,2019-02-17 06:42:00,2019-03-17 07:03:00,2019-04-17 06:30:00,41001,4653,5098,0.43613314628601074,32,0.2,0.001,0.7925764322280884,0.8067552447319031,0.6767301559448242,0.7360444664955139,2.388808900729546,1806,0.0013227070325191285
